活动,日期,开始日期,结束日期
九月｜五台山-华北屋脊朝圣之路，在出发与抵达间寻回内心的方向,09月,09月,09月
24.0907/周六/森系大黑峰｜我们在峰峦之巅呐喊，而群山回唱,09月07日,09月07日,09月07日
24.0907/周六/浮图峪｜连绵不断与树木相伴，蜿蜓伸展于群山之间,09月07日,09月07日,09月07日
"24.0907/周六/山系桦皮岭｜浪迹在山中草甸,吹着初秋的风走进收获的季节",09月07日,09月07日,09月07日
24.0907/周六/森系海坨山谷环线｜隐于森林草甸，行走在与自然共生的小镇中,09月07日,09月07日,09月07日
24.0907/周六/森系秋林铺｜清爽的微风山间穿行，渐绿的森林波浪起伏,09月07日,09月07日,09月07日
24.0908/周日/歪顶坨｜初秋登山看水，去触摸山川湖海的心跳,09月08日,09月08日,09月08日
24.0908/周日/金海湖畔｜秋微凉，水清浅，散落在山水里的慢时光,09月08日,09月08日,09月08日
24.0908/周日/山系黄花梁｜风吹动云朵的衣裳，滚落在高高的山岗,09月08日,09月08日,09月08日
十月｜深秋南太行｜行于天梯挂壁之上，穿于古村古树之间，与南太行来一场美好的相遇,10月,10月,10月
十月｜济州岛，交织着自然与人文的山岳与海,10月,10月,10月
十一月｜金色武功山，漫步山间，行至水穷处，坐看云起时,11月,11月,11月
十一月｜香港麦理浩径，穿过人山人海，去看山和大海,11月,11月,11月
中秋｜富士山摇曳露营，东瀛岛之巅观海,中秋,中秋,中秋
0915/0921/0928/周末三期/金秋老掌沟环线｜走进秋天，去收集快乐和浪漫，带着收获的喜悦继续前行,多期,多期,多期
中长线合集｜0823-25辉腾梁火山草原+石条山｜0831-0901五台山｜0921-22 金秋坝上,多期,多期,多期
