活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【初级-10.19】喇叭沟门丨徒步踏秋丨12km一日徒步（伴行者）,10月19日,10月19日,10月19日,第二站 7:20 西土城 | 第一站 7:00 干果张(公主坟店),108.0元/人,600m,-,11km,-
【中级-10.19】喇叭沟南猴顶丨徒步踏秋丨22km一日徒步（伴行者）,10月19日,10月19日,10月19日,第二站 7:20 西土城 | 第一站 7:00 干果张(公主坟店),108.0元/人,1500m,-,22km,-
【初级-10.19】秋林铺丨寻找秋天的足迹丨13km一日徒步（伴行者）,10月19日,10月19日,10月19日,第二站 7:20 北京新兴宾馆 | 第一站 7:00 西土城 | 第二站 7:20 北京新兴宾馆活动领队,98.0元/人,800m,-,13km,-
【初级进阶-10.19】狗牙山11km丨穿越险峻山脊，探寻隐匿于山间的秘境｜一日徒步（伴行者）,10月19日,10月19日,10月19日,第二站 7:20 北京新兴宾馆 | 第一站 7:00 西土城 | 第二站 7:20 北京新兴宾馆活动领队,98.0元/人,550m,-,11km,-
【初级-10.19】麻田岭丨秋色进行时丨14km一日徒步（伴行者）,10月19日,10月19日,10月19日,第二站 7:20 北京新兴宾馆 | 第一站 7:00 西土城 | 第二站 7:20 北京新兴宾馆活动领队,128.0元/人,200m,-,14km,-
【初级-10.19】东灵山10km丨秋登顶北京最高峰（伴行者）,10月19日,10月19日,10月19日,第二站 7:20 北京新兴宾馆 | 第一站 7:00 西土城 | 第二站 7:20 北京新兴宾馆活动领队,108.0元/人,900m,900m,10km,-
【初级-10.20】石虎线丨穿越峡谷密林赏秋登山丨10km一日徒步（伴行者）,10月20日,10月20日,10月20日,第一站 7:30 干果张(公主坟店) | 第二站 7:50 西土城,98.0元/人,600m,-,10km,-
【休闲-10.20】百里画廊丨山峦叠翠秋树叶金黄丨19km一日徒步（伴行者）,10月20日,10月20日,10月20日,第二站 7:20 西土城 | 第一站 7:00 干果张(公主坟店),98.0元/人,-,-,19km,-
【大巴-周末两天】三山五岳之泰山丨一睹泰山日出的壮观与浪漫丨10月26、27日,10月26日-10月27日,10月26日,10月27日,第一站 7:00 西土城 | 第二站 7:30 刘家窑,348.0元/人,-,-,-,-
【大巴-周末两天】三山五岳之恒山丨跟着悟空游山西丨11月2、3日,11月02日-11月03日,11月02日,11月03日,第二站 7:30 西土城 | 第一站 7:00 干果张(公主坟店),528.0元/人,-,-,-,-
【火车-周末两天】三山五岳之黄山丨黄山归来不看岳丨11月9、10日,11月09日-11月10日,11月09日,11月10日,-,798.0元/人,-,-,-,-
