活动,日期,开始日期,结束日期
【汪汪队】【已成行】【国庆长假】追一场限定晚秋，赴一场初冬之约—圆梦阿尔山,-,-,-
【中秋五天】【确认成行】【轻装】9.14-18石门阻隔的秘境－九色甘南“扎尕那”,-,-,-
【初级】【周一】【金台路地铁F口集合】金台路-09月09日桦皮岭10公里徒步穿越,09月09日,09月09日,09月09日
【初级】【周二】【金台路地铁F口集合】金台路-09月10日老掌沟18公里环穿,09月10日,09月10日,09月10日
【初级】【周二】09月10日老龙窝14公里徒步穿越,09月10日,09月10日,09月10日
【初级】【周三】【宋家庄地铁站D口集合】宋家庄-09月11日麻田岭-东甸子梁15公里徒步穿越,09月11日,09月11日,09月11日
【休闲】【周四】09月12日龙宫山10公里徒步穿越,09月12日,09月12日,09月12日
【初级】【周五】【金台路地铁F口集合】金台路-09月13日北京最高峰东灵山徒步穿越10公里,09月13日,09月13日,09月13日
【休闲】【周五】09月13日莲花滩11公里环穿,09月13日,09月13日,09月13日
【初级】【周六工作日】09月14日燕羽山10公里徒步穿越,09月14日,09月14日,09月14日
【中秋四天】【最美云南】9月14-17日香格里拉 老药山+阿布吉措新线+九子海徒步,09月14日-09月17日,09月14日,09月17日
【中秋四天】【最美云南】9月14-17日香格里拉 老药山+阿布吉措新线+九子海徒步,09月14日-09月17日,09月14日,09月17日
【汪汪队】【中秋节】梦里的远方-遇见原始游牧秘境9月15日-17日三日轻装休闲徒步路线,09月15日,09月15日,09月15日
【中级】【豪华大巴往返】【夜行沙漠】09月15-16日库布齐轻装穿越30公里,09月15日-09月16日,09月15日,09月16日
【汪汪队】【中秋节】太行一山起，华北万物生—千年太行寻秋，9月15-17日三天两晚休闲徒步活动,09月15日-09月17日,09月15日,09月17日
【重装露营】【初级】09月21-22日老掌沟16公里露营穿越,09月21日-09月22日,09月21日,09月22日
【中级】【国庆五天】【长穿毕】10月02日-06日国庆长坪沟穿越毕棚沟45公里轻装徒步,10月02日,10月02日,10月02日
【十一】【轻装客栈】【四天】10月02-05日南太行80公里穿越,10月02日-10月05日,10月02日,10月05日
