活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,距离
「9.28周六」小溪松林，莲花滩9公里徒步环穿,09月28日,09月28日,09月28日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,300m,9km
「9.28周六」碧波荡漾，金海湖8公里徒步环穿,09月28日,09月28日,09月28日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,300m,8km
「9.28周六」古道沧桑，京西古道14公里徒步穿越,09月28日,09月28日,09月28日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,650m,14km
「10.1国庆」赤壁丹霞-四十里长嵯15公里环线,10月01日,10月01日,10月01日,立水桥南地铁站A口 | 水潭地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,700m,15km
「10.1国庆」草甸瀑布溯溪，玉渡山8公里休闲徒步,10月01日,10月01日,10月01日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,100m,8km
「10.1-10.3国庆」五台山徒步，此生必走一次的朝圣之路,10月01日-10月03日,10月01日,10月03日,立水桥南地铁站A口 | 积水潭地铁站A口,950.0元/人 | 300.0元/狗,-,-
「10.2国庆」京西小三峡，珍珠湖8公里徒步环穿,10月02日,10月02日,10月02日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,400m,8km
「10.2国庆」北京第一峰，东灵山10公里徒步穿越,10月02日,10月02日,10月02日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,900m,10km
「10.2国庆」高山草甸，北灵山9公里徒步穿越,10月02日,10月02日,10月02日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,700m,9km
「10.2-10.4国庆」腾格里沙漠，52公里轻装五湖连穿,10月02日-10月04日,10月02日,10月04日,-,2180.0元/人,-,-
「10.3国庆」京郊小天山，麻田岭9公里徒步穿越,10月03日,10月03日,10月03日,立水桥南地铁站A口 | 积水潭地铁站A口,148.0元/人 | 100.0元/狗,300m,9km
「10.3国庆」森林草甸，海坨南梁9公里徒步穿越,10月03日,10月03日,10月03日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,600m,9km
「10.4国庆」森林氧吧，喇叭沟门12公里徒步穿越,10月04日,10月04日,10月04日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,700m,12km
「10.4国庆」黄岩口-石虎线10公里徒步环穿,10月04日,10月04日,10月04日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,600m,10km
「10.5国庆」高山草甸，北灵山9公里徒步穿越,10月05日,10月05日,10月05日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,700m,9km
「10.5国庆」漫步油画世界，桦皮岭11公里徒步穿越,10月05日,10月05日,10月05日,立水桥南地铁站A口 | 积水潭地铁站A口,148.0元/人 | 100.0元/狗,500m,11km
「10.6国庆」千年古刹，白瀑寺12公里徒步穿越,10月06日,10月06日,10月06日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,300m,12km
「10.6国庆」京郊小天山，麻田岭9公里徒步穿越,10月06日,10月06日,10月06日,立水桥南地铁站A口 | 积水潭地铁站A口,148.0元/人 | 100.0元/狗,300m,9km
「10.6-10.7周六日」金秋野宿，老掌沟18公里徒步露营，可轻装可重装,10月06日-10月07日,10月06日,10月07日,立水桥南地铁站A口 | 积水潭地铁站A口,418.0元/人 | 200.0元/狗,-,-
「10.7国庆」碧波荡漾，金海湖8公里徒步环穿,10月07日,10月07日,10月07日,地铁站A口 | 立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,300m,8km
「10.7国庆」京西小三峡，珍珠湖8公里徒步环穿,10月07日,10月07日,10月07日,立水桥南地铁站A口 | 积水潭地铁站A口,118.0元/人 | 100.0元/狗,400m,8km
「10.25-10.30」虎跳峡+尼汝秘境，徒步香格里拉6天5晚,10月25日-10月30日,10月25日,10月30日,-,3280.0元/人,-,-
