活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【10.26/27周六日两期】【初级强度】红叶漫漫药王谷,-,-,-,10月26 地点集合,98.0元/人,600m,600m,8km,-
【10.26周六】【初级进阶】千灵山-飞拉达,-,-,-,10月21 地点集合,960.0元/人,-,-,-,-
【10.27周日】【初级强度】白瀑寺-东坨赏秋穿越,-,-,-,-,98.0元/人,580m,580m,13km,-
【10.26周六】【初级强度】石虎线赏秋,-,-,-,-,98.0元/人,600m,600m,9km,-
【10.26/27周六日两期】【初级强度】舞彩浅山赏红叶,-,-,-,10月26 地点集合,98.0元/人,500m,500m,9km,-
【10.27周日】【初级进阶】【恐高勿报】狗牙山—十大经典路线,-,-,-,-,108.0元/人,600m,700m,10km,-
【10.26周六】【初级骑行】百里画廊骑行，80里遍赏秋景,-,-,-,-,238.0元/人,200m,200m,40km,-
【10.26周六】【初级强度】秋景蚕姑坨，摘柿子赏天门洞,-,-,-,-,128.0元/人,600m,600m,13km,-
10月25-27日 | 彩林、飞雪，非“典型”长穿毕,10月25日-10月27日,10月25日,10月27日,10月25 在成都市区集合 | 10月24 在成都市区集合,980.0元/人,-,-,-,-
10月26日｜舞彩浅山，纵情赏秋,10月26日,10月26日,10月26日,16:30 | 到达地铁牡丹园站 | 10月26 口集合 | 08:00 | 地铁牡丹园站-C口,119.0元/人,430m,430m,8km,-
10月26日｜秋日蚕姑坨，徒步摘柿子,10月26日,10月26日,10月26日,19:30 | 到达地铁公主坟站 | 07:30 | 地铁牡丹园站-C口 | 19:50 | 到达地铁牡丹园站 | 10,119.0元/人,650m,650m,12km,-
10月26-27日｜北灵露营，赏秋观星,10月26日-10月27日,10月26日,10月27日,07:30 | 地铁牡丹园站-C口 | 10月26 包括但不限于集合 | 17:30 | 抵达地铁牡丹园站 | 17:0,229.0元/人,-,-,-,-
10月27日｜携宠徒步｜琉璃渠-丑儿岭环线,10月27日,10月27日,10月27日,07:00 | 劲松地铁站 | 18:30 | 抵达劲松地铁站 | 10月27 口集合 | 18:00 | 抵达公主坟站,288.0元/人,200m,-,6km,-
10月27日｜徒步坡峰岭，已是漫山红遍,10月27日,10月27日,10月27日,07:30 | 地铁牡丹园站-C口 | 07:50 | 地铁公主坟站 | 10月27 口集合 | 17:50 | 到达地,119.0元/人,700m,-,10km,-
11月9-10日｜漫行济州岛，徒步汉拿山,11月09日-11月10日,11月09日,11月10日,11月9 济州集合,990.0元/人,-,-,-,-
