活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
初级适度 | 11.16 周六 | 野狼谷徒步,11月16日,11月16日,11月16日,-,128.0元/人,300m,-,13km,-
中级挑战 | 11.16 周六 | 西南灵山徒步赏雪,11月16日,11月16日,11月16日,21:00｜牡丹园地铁站 | 20:30｜西二旗地铁站 | 07:20｜牡丹园地铁站C口 | 07:40｜西二旗地铁站辉,128.0元/人,1100m,-,18km,-
初级适度 | 11.16 周六 | 鹿皮关长城徒步,11月16日,11月16日,11月16日,-,118.0元/人,500m,-,7km,-
初级适度 | 11.16 周六 | 千佛崖，探索精美佛教崖刻,11月16日,11月16日,11月16日,-,118.0元/人,400m,-,9km,-
初级适度 | 11.16 周六 | 珍珠湖徒步,11月16日,11月16日,11月16日,07：40｜牡丹园地铁站C口 | 07：10｜西二旗地铁口辉煌国际麦当劳门口,118.0元/人,600m,-,8km,-
初级适度 | 11.16 周六 | 人菜瘾还大，天津蓟县狐狸峪,11月16日,11月16日,11月16日,07：40｜牡丹园地铁站C口 | 07：10｜西二旗地铁口辉煌国际麦当劳门口,128.0元/人,620m,-,13km,-
周末特种兵｜11.16-17｜宁国吴越古道 浙西天池 安吉章里古道,11月16日,11月16日,11月16日,-,899.0元/人,560m,-,12km,-
入门休闲 | 11.17 周日 | 银山塔林徒步,11月17日,11月17日,11月17日,-,118.0元/人,650m,-,9km,-
入门休闲 | 11.17 周日 | 野鸭湖看夕阳，中午出发,11月17日,11月17日,11月17日,19：30｜回到北京上车点西二旗地铁站,118.0元/人,-,-,10km,-
入门休闲 | 11.17 周日 | 赏秋红螺寺~雁栖湖,11月17日,11月17日,11月17日,-,118.0元/人,500m,-,6km,-
中级挑战 | 11.29晚~12.01丨大五朝台 逆穿赏雪,11月29日 12月01日,11月29日,11月29日,19:30｜牡丹园地铁站C口,520.0元/人,2000m,-,50km,-
周末特种兵 丨11.30-12.01丨渡阴山  重走昭君出塞路【越野车穿越 感受历史】,11月30日-12月01日,11月30日,12月01日,-,2998.0元/人,-,-,-,-
