活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【10.25-10.27】五台山徒步｜朝圣修行之路（两日逆）,10月25日-10月27日,10月25日,10月27日,-,398.0元/人,-,-,-,-
【10.26周六】​舞彩浅山徒步 | 上帝打翻了调色盘,10月26日,10月26日,10月26日,08：00 芍药居E口,108.0元/人,700m,-,10km,-
【10.26周六】蚕姑坨徒步 | 狼牙山五坨之首,10月26日,10月26日,10月26日,07：00 牡丹园C口,118.0元/人,700m,-,13km,-
【10.26周六】​桦皮岭徒步 | 宫崎骏的漫画世界,10月26日,10月26日,10月26日,07：30 牡丹园C口,138.0元/人,300m,-,8km,-
【10.26周六】谷积山徒步 | 看古塔 赏红叶 摘柿子,10月26日,10月26日,10月26日,07：20 牡丹园C口 | 07：00 望京西B口,98.0元/人,500m,-,14km,-
【10.26周六】银山塔林徒步 | 探秘千年古塔,10月26日,10月26日,10月26日,07：30 牡丹园C口,98.0元/人,700m,-,15km,-
【10.26周六】​坡峰岭徒步 | 壮观的山地红叶,10月26日,10月26日,10月26日,08：00 牡丹园C口,98.0元/人,750m,-,12km,-
【10.26周六】​白瀑寺徒步 | 探访深山里的魔幻古寺,10月26日,10月26日,10月26日,08：00 牡丹园C口 | 07：40 呼家楼B口,108.0元/人,150m,-,12km,-
【10.26-10.27】婺源2日游 | 落枫十月 秋意婺源,10月26日-10月27日,10月26日,10月27日,-,468.0元/人,-,-,-,-
【10.26-10.27】泰山夜爬 | 徒步特种兵集结,10月26日-10月27日,10月26日,10月27日,08：30 呼家楼B口 | 08：00 望京西B口,318.0元/人,-,-,-,-
【10.27周日】​桦皮岭徒步 | 宫崎骏的漫画世界,10月27日,10月27日,10月27日,07：30 牡丹园C口 | 07：00 望京西B口,138.0元/人,300m,-,8km,-
【11.9-11.10】婺源2日游 | 最美中国符号 - 晒秋,11月09日-11月10日,11月09日,11月10日,-,468.0元/人,-,-,-,-
【11.16-11.17】婺源2日游 | 体验民俗传统“晒秋”,11月16日-11月17日,11月16日,11月17日,-,468.0元/人,-,-,-,-
