活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【休闲行摄】【11月9/10日-周六/日】野鸭湖湿地公园徒步，深秋观鸟赏芦苇,-,-,-,8：00 呼家楼地铁B口 | 8：30 牡丹园地铁C口,98.0元/人,0m,-,10km,-
【初中级AB队】【11.16-周六】一渡—十渡穿越，北方最大喀斯特地貌,11月16日,11月16日,11月16日,7：30 海淀五路居A口 | 7：10 牡丹园地铁C口,108.0元/人,600m,-,12km,-
【初级徒步】【11.16-周六】赤壁丹霞15公里环穿，亚洲最大单体岩石,11月16日,11月16日,11月16日,7：30 牡丹园地铁C口,108.0元/人,700m,-,15km,-
【即将成团】【11.16-周六】赤壁丹霞15公里环穿，亚洲最大单体岩石,11月16日,11月16日,11月16日,7：30 牡丹园地铁C口,108.0元/人,700m,-,15km,-
【即将成团】【初中级AB队】【11.16-周六】一渡—十渡穿越，北方最大喀斯特地貌,11月16日,11月16日,11月16日,7：30 海淀五路居A口 | 7：10 牡丹园地铁C口,108.0元/人,600m,-,12km,-
【特价68元】【休闲行摄】【11.16-周六】野鸭湖湿地公园徒步，深秋观鸟赏芦苇,11月16日,11月16日,11月16日,8：00 呼家楼地铁B口 | 8：30 牡丹园地铁C口,68.0元/人,0m,-,10km,-
【即将成团】【特惠88】【11.16-周六】清茶山-珍珠湖8公里徒步，打卡网红石,11月16日,11月16日,11月16日,7：50 牡丹园地铁c口 | 7：20 呼家楼地铁B口,98.0元/人,600m,-,8km,-
【特惠88】【初级徒步】【11.16-周六】清茶山-珍珠湖8公里徒步，打卡网红石,11月16日,11月16日,11月16日,7：50 牡丹园地铁c口 | 7：20 呼家楼地铁B口,98.0元/人,600m,-,8km,-
【即将成团】【特价68元】【11.16-周六】野鸭湖湿地公园徒步，深秋观鸟赏芦苇,11月16日,11月16日,11月16日,8：00 呼家楼地铁B口 | 8：30 牡丹园地铁C口,68.0元/人,0m,-,10km,-
【初级徒步】【11.17-周日】狐狸峪10公里小环，徒步最美山脊线,11月17日,11月17日,11月17日,7：30 呼家楼地铁B口 | 7：10 牡丹园地铁C口,108.0元/人,400m,-,10km,-
【初级徒步】【11.17-周日】白瀑寺-东坨11公里环穿，打卡京城玄幻辽代古寺,11月17日,11月17日,11月17日,7：50 牡丹园地铁c口 | 7：20 呼家楼地铁B口,98.0元/人,550m,-,11km,-
【初级徒步】【11.17-周日】狐狸峪10公里小环，徒步最美山脊线,11月17日,11月17日,11月17日,7：30 呼家楼地铁B口 | 7：10 牡丹园地铁C口,108.0元/人,400m,-,10km,-
【初级徒步】【11.17-周日】白瀑寺-东坨11公里环穿，打卡京城玄幻辽代古寺,11月17日,11月17日,11月17日,7：50 牡丹园地铁c口 | 7：20 呼家楼地铁B口,98.0元/人,550m,-,11km,-
