活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,距离
【初级强度】9月28日：黄梁秋风起，东北灵撒欢跑,09月28日,09月28日,09月28日,9月28日 7:00 牡丹园地铁C口,98.0元/人,1800m,30km
【初级强度】【节前溜达】9月28日：黄梁秋风起，东北灵撒欢跑,09月28日,09月28日,09月28日,9月28日 7:00 牡丹园地铁C口,98.0元/人,1800m,30km
【初级强度】9月28日：黄梁秋风起，东北灵撒欢跑,09月28日,09月28日,09月28日,9月28日 7:00 牡丹园地铁C口,98.0元/人,1800m,30km
【超大强度】【AA约伴】【节后刮油】10月13日：三峰双圈测速,10月13日,10月13日,10月13日,7:00 大觉寺商店集合不定时自行补给,-,3500m,44km
【中级强度】【AA约伴】【节后刮油】10月13日：三峰双圈测速,10月13日,10月13日,10月13日,7:00 大觉寺商店集合不定时自行补给,-,3500m,44km
【超大强度】【11峰连穿】10月18日-19日：千米高山一日挑,10月18日,10月18日,10月18日,20:00 牡丹园地铁C口集合,168.0元/人,4000m,75km
【终极强度】【赛事拉练】10月18日-20日：延庆壹佰,10月18日,10月18日,10月18日,19:30 牡丹园地铁C口集合,698.0元/人,5000m,100km
【终极强度】10月18日-20日：京西龙脊100大连穿AB队,10月18日,10月18日,10月18日,10月18日 20:00 牡丹园地铁C口,298.0元/人,5200m,100km
【超大强度】10月18日-19日：京西龙脊上,10月18日,10月18日,10月18日,10月18日 20:00 牡丹园地铁C口,258.0元/人,3600m,68km
【终极强度】11月1日-3日：延庆壹佰,11月01日,11月01日,11月01日,19:30 牡丹园地铁C口集合,698.0元/人,5000m,100km
