活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【11.9周六】【初级强度】舞彩浅山赏红叶（今年最后一期）,11月09日,11月09日,11月09日,08：00 地铁10/13号线知春路站F出口,98.0元/人,500m,500m,9km,-
【11.9/10周六日两期】【初级强度】广慧寺-潭柘寺，银杏赏秋之行,11月09日,11月09日,11月09日,08：00 地铁10/13号线知春路站F出口,98.0元/人,700m,550m,9km,-
【11.9周六】【中级强度】【新弱勿报】翠屏湖三峪赏秋穿越,11月09日,11月09日,11月09日,07：10 地铁10/13号线知春路站F出口,108.0元/人,800m,800m,20km,-
【11.9周六】【初级进阶】漆树洼赏秋穿越，感受喀斯特地貌,11月09日,11月09日,11月09日,07：20 地铁10/13号线知春路站F出口,98.0元/人,600m,800m,11km,-
【11.9周六】【初级强度】寨口-栖隐寺，红叶“紫禁城”,11月09日,11月09日,11月09日,08：00 地铁10/13号线知春路站F出口,98.0元/人,750m,500m,11km,-
【11.9周六】【初级强度】深秋谷积山，寻访千年古迹,11月09日,11月09日,11月09日,08：00 地铁10/13号线知春路站F出口,98.0元/人,500m,600m,14km,-
【11.10周日】【初级强度】登长城高楼，品美味猪蹄,11月10日,11月10日,11月10日,08：30 地铁10/13号线知春路站F出口,98.0元/人,700m,700m,13km,-
【11.10周日】【初级强度】徒步珍珠湖，打卡网红石,11月10日,11月10日,11月10日,08：00 地铁10/13号线知春路站F出口,98.0元/人,700m,700m,8km,-
【确认出发·特惠·11.16-17】婺源最佳赏秋时：徽婺古道|石城日出|长溪红枫,11月16日,11月16日,11月16日,-,468.0元/人,550m,600m,24km,-
【11.16周六】【初级进阶】千灵山-飞拉达,11月16日,11月16日,11月16日,08：30 地铁10/13号线知春路站F出口,960.0元/人,-,-,-,-
【观赏预报·11.23-24】婺源最佳赏秋时：徽婺古道|石城日出|长溪红枫,11月23日,11月23日,11月23日,-,498.0元/人,550m,600m,24km,-
【11.30周六】第三期领队红十字会救护培训（开放队员补贴名额）,11月30日,11月30日,11月30日,-,220.0元/人,-,-,-,-
