活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,距离
【周六初级+】9.28赤壁丹霞徒步，打卡亚洲最大的单体岩石,09月28日,09月28日,09月28日,牡丹园C口,128.0元/人,700m,16km
【早鸟价118元】【周六初级+】9.28北灵山黄草梁18公里经典穿越路线,09月28日,09月28日,09月28日,牡丹园C口,138.0元/人,650m,18km
【周六初级】9.28长峪城青灰岭风车草甸徒步,09月28日,09月28日,09月28日,牡丹园C口,128.0元/人,400m,11km
【周六初级】9.28北京魔幻玄寺白瀑寺徒步,09月28日,09月28日,09月28日,牡丹园C口,128.0元/人,600m,12km
【周六初级+】9.28北灵山黄草梁18公里经典穿越路线,09月28日,09月28日,09月28日,牡丹园C口,138.0元/人,650m,18km
【早鸟价99元】【周六初级】9.28长峪城青灰岭风车草甸徒步,09月28日,09月28日,09月28日,牡丹园C口,128.0元/人,400m,11km
【早鸟价99元】【周六初级+】9.28赤壁丹霞徒步，打卡亚洲最大的单体岩石,09月28日,09月28日,09月28日,牡丹园C口,128.0元/人,700m,16km
【早鸟价99元】【周六初级】9.28北京魔幻玄寺白瀑寺徒步,09月28日,09月28日,09月28日,牡丹园C口,128.0元/人,600m,12km
【国庆四天-中级-大巴团】9.30-10.4五台山顺朝72公里徒步转山,国庆 09月30日-10月04日,国庆 09月30日-10月04日,国庆 09月30日-10月04日,牡丹园C口,719.0元/人,3200m,72km
【早鸟价99元】【国庆初级】10.1徒步北京最高峰“东灵山”,国庆 10月01日,国庆 10月01日,国庆 10月01日,牡丹园C口,128.0元/人,900m,10km
【国庆四天-内蒙-大巴团】10.1-10.4赏北国之秋，美林谷热阿线达达线大青山徒步自驾,国庆 10月01日-10月04日,国庆 10月01日-10月04日,国庆 10月01日-10月04日,牡丹园C口,1499.0元/人,-,580km
【早鸟价118元】【国庆初级】10.2徒步京西香格里拉“麻田岭”赏秋,国庆 10月02日,国庆 10月02日,国庆 10月02日,牡丹园C口,138.0元/人,300m,15km
