活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【11.9周六】一渡到五渡穿越 | 北方唯一喀斯特岩溶的地貌,11月09日,11月09日,11月09日,-,108.0元/人,800m,-,12km,-
【11.9周六】赤壁丹霞徒步 | 探秘白垩纪的巨大岩石,11月09日,11月09日,11月09日,-,118.0元/人,700m,-,15km,-
【11.9周六】金海湖徒步 | 北京湖景天花板,11月09日,11月09日,11月09日,-,108.0元/人,300m,-,8km,-
【休闲】11.9 / 周六 / 神堂峪 | 可带汪 | 洗涤心灵，忘却世尘,11月09日,11月09日,11月09日,牡丹园地铁站C口 | 呼家楼地铁站B口,118.0元/人 | 100.0元/狗,200m,-,7km,-
【初级】11.9 / 周六 / 广化寺 | 可带汪 | 古银杏的前世今生,11月09日,11月09日,11月09日,牡丹园地铁站C口 | 呼家楼地铁站B口,118.0元/人 | 100.0元/狗,550m,-,8km,-
【11.9周六】​桦皮岭徒步 | 宫崎骏的漫画世界,11月09日,11月09日,11月09日,-,138.0元/人,300m,-,9km,-
【初级】11.9 / 周六 / 谷积山 | 享山间禅音一刻,11月09日,11月09日,11月09日,牡丹园地铁站C口 | 呼家楼地铁站B口,118.0元/人,500m,-,14km,-
【11.9周六】舞彩浅山徒步 | 上帝打翻了调色盘,11月09日,11月09日,11月09日,-,108.0元/人,500m,-,10km,-
【11.9周六】咔嚓古道徒步 | 穿越山峦之间的神秘古道,11月09日,11月09日,11月09日,-,98.0元/人,500m,-,9km,-
【11.9周六】清茶山-珍珠湖徒步 | 京郊“贝加尔湖”,11月09日,11月09日,11月09日,-,98.0元/人,700m,-,10km,-
【11.9周六】广化寺徒步 | 邂逅千年银杏树,11月09日,11月09日,11月09日,-,98.0元/人,260m,-,11km,-
【11.9周六】谷积山徒步 | 看古塔 赏红叶 摘柿子,11月09日,11月09日,11月09日,-,98.0元/人,500m,-,14km,-
【趣嗨皮狗狗团 | 轻奢露营】11.9-11.10 | 房山翡翠湖营地露营,11月09日-11月10日,11月09日,11月10日,-,-,-,-,-,-
【11.10周日】珍珠湖徒步 | 京郊“贝加尔湖”,11月10日,11月10日,11月10日,-,98.0元/人,600m,-,8km,-
【11.10周日】三界碑徒步 | 站上京津冀的交界点,11月10日,11月10日,11月10日,-,118.0元/人,750m,-,13km,-
【11.10周日】狗牙山徒步 | 挑战刀刃般的山脊,11月10日,11月10日,11月10日,-,98.0元/人,700m,-,10km,-
【初级】11.10 / 周日 / 狐狸峪 | 北方武功山,11月10日,11月10日,11月10日,牡丹园地铁站C口 | 呼家楼地铁站B口,118.0元/人,650m,-,12.6km,-
【11.10周日】舞彩浅山徒步 | 上帝打翻了调色盘,11月10日,11月10日,11月10日,-,108.0元/人,500m,-,10km,-
【休闲】11.10 / 周日 / 金海湖｜小北戴河 | 可带汪,11月10日,11月10日,11月10日,牡丹园地铁站C口 | 呼家楼地铁站B口,118.0元/人 | 100.0元/狗,278m,-,8km,-
【11.10周日】​桦皮岭徒步 | 宫崎骏的漫画世界,11月10日,11月10日,11月10日,-,138.0元/人,300m,-,9km,-
【11.10周日】媳妇岭徒步 | 流传着脱单的传说,11月10日,11月10日,11月10日,-,118.0元/人,500m,-,10km,-
【11.10周日】燕羽山徒步 | 品尝特色豆腐宴,11月10日,11月10日,11月10日,-,98.0元/人,700m,-,9km,-
【休闲】11.16-17 / 11.23-24 | 两期 | 江西婺源两日 | 画中古城赏秋之旅,11月16日-11月17日 11月23日-11月24日,11月16日,11月17日,-,638.0元/人,-,-,-,-
