活动,日期,开始日期,结束日期,集合地点,报名费用,爬升,下降,距离,车程
【中级】11.16 周六丨京畿之巅东灵山,11月16日,11月16日,11月16日,-,-,870m,1000m,-,-
【初级】11.16 周六丨访古论今 徒步穿越谷积山,11月16日,11月16日,11月16日,-,-,500m,600m,-,-
【初级】11.16 周六丨探寻北方武功山狐狸峪,11月16日,11月16日,11月16日,-,-,700m,750m,-,-
【初级】11.16 周六丨湖门村-蟒山天池穿越,11月16日,11月16日,11月16日,-,-,850m,1000m,-,-
11.16 周六丨千灵山飞拉达:下马威-步惊心-九重天,11月16日,11月16日,11月16日,-,-,-,-,-,-
【休闲】11.17 周日丨新线-广慧寺万桑古道赏北平之秋,11月17日,11月17日,11月17日,-,-,327m,327m,-,-
【初级】11.17 周日丨清茶山无敌视野俯瞰珍珠湖,11月17日,11月17日,11月17日,-,-,650m,970m,-,-
【初级】11.17 周日丨行走龙脊线 穿越铡刀背,11月17日,11月17日,11月17日,-,-,800m,820m,-,-
【初级】11.21 周四丨大觉寺  三峰小环古道捡秋,11月21日,11月21日,11月21日,-,-,1030m,1040m,-,-
三峡红叶丨11.28-12.1丨徒步三峡行摄，在最美的时节丨共两期,11月28日-12月01日,11月28日,12月01日,3180.0元/人,★集合时间：11.28日/12月5日早7点半，宜昌东站集合,-,-,-,-
【休闲】11.30 周六丨桦皮岭踏雪,11月30日,11月30日,11月30日,-,-,400m,400m,-,-
【中级】11.30 周六丨徒步官财山 探秘芙蓉洞,11月30日,11月30日,11月30日,-,-,800m,800m,-,-
【初级】11.30 周六丨无敌视野俯瞰珍珠湖,11月30日,11月30日,11月30日,-,-,650m,970m,-,-
【初级+】11.30 周六丨新线-幽州大峡谷挂壁公路,11月30日,11月30日,11月30日,-,-,200m,100m,-,-
【11.30-12.1 周六日】单日合集丨桦皮岭踏雪\官财山\清茶山珍珠湖\新线幽州大峡谷\新线石峡关\香山小松鼠,11月30日-12月01日,11月30日,12月01日,-,-,-,-,-,-
中岳嵩山丨11.30-12.1 周六日丨嵩山少太两山徒步，登临峻极峰顶，寻访少林古刹,11月30日-12月01日,11月30日,12月01日,780.0元/人,★集合时间：11月30日周六早9点半，郑州东站集合出发；12月1日下午7点前郑州东站解散,-,-,-,-
三峡红叶丨12.5-8丨徒步三峡行摄，在最美的时节,12月05日-12月08日,12月05日,12月08日,3180.0元/人,★集合时间：12月5日早7点半，宜昌东站集合,-,-,-,-
【即将成行】三峡红叶丨12.5-8丨徒步三峡行摄，在最美的时节,12月05日-12月08日,12月05日,12月08日,3180.0元/人,★集合时间：12月5日早7点半，宜昌东站集合,-,-,-,-
【中级】12.7 周六丨千灵山飞拉达：下马威-步惊心-九重天丨Q2/N3,12月07日,12月07日,12月07日,880.0元/人,第一集合点牡丹园地铁站C口 | 第二集合点公主坟地铁站A口新兴宾馆门口,-,-,-,-
塞北雪乡丨12.27-29 周五晚-周日丨冬季乌兰布统，极致冰雪之美,12月27日-12月29日,12月27日,12月29日,2000.0元/人,19：00 芍药居地铁站E口集合出发（城区易堵，为快速出城及早抵达好好休息，去程不再设置马甸三夫集合点，返程将会安排马甸,-,-,-,-
自驾越野丨12.27-29 周五晚-周日丨乌兰布统冰雪之旅丨中度越野,12月27日-12月29日,12月27日,12月29日,1850.0元/人,-,-,-,-,-
海岸山色丨12.28-31丨海岸专场，香港夜景，徒步香港麦理浩径/凤凰径精华段，穿越深圳东西冲绝美海岸线丨共两期,12月28日-12月31日,12月28日,12月31日,3880.0元/人,集合时间丨12.28/ 1.1，全天内深圳指定酒店集合 | 全天内各地伙伴到深圳指定酒店集合；到达后根据个人到达时间自由,-,-,-,-
