活动,日期,开始日期,结束日期
【国庆，雨崩，初级 】天堂在左，雨崩在右丨仰望神山，探寻世外桃源,-,-,-
【周六-初级】09.07 安全沟梁-蔚县新秘境,09月07日,09月07日,09月07日
【周六-初级】09.07 海坨南大梁，曾经的露营圣地,09月07日,09月07日,09月07日
【周日-初级】09.08 巨石阵长城-鬼斧神工，长城秘境,09月08日,09月08日,09月08日
【周日-休闲】09.08 龙门涧峡谷溯溪+古村爨底下+一线天,09月08日,09月08日,09月08日
【9.15初秋，初级+】老掌沟徒步赏秋，秋季限定,09月15日,09月15日,09月15日
【中秋 9.15-16 休闲】 坝上草原-骑马，篝火，烟花，烤全羊，特惠,09月15日,09月15日,09月15日
【9.21金秋/初级+】老掌沟徒步赏秋，秋季限定,09月21日,09月21日,09月21日
【国庆假期】10.2-10.4 武功山-徒步云端草甸，萍乡集合,10月02日-10月04日,10月02日,10月04日
"【国庆假期】10.2-10.4 腾格里经典五湖连穿（含餐含露营装备）,特惠",10月02日-10月04日,10月02日,10月04日
