活动,日期,开始日期,结束日期
9.14-9.17中秋丨初级强度丨芦芽山,09月14日-09月17日,09月14日,09月17日
9.15-9.16中秋丨京畿10峰丨初级住宿丨茶山-麻田岭,09月15日-09月16日,09月15日,09月16日
9.15-9.17丨初级强度丨东猴顶&浑善达克,09月15日-09月17日,09月15日,09月17日
10.1-10.6丨高海拔丨轻装住宿丨库拉岗日,10月01日-10月06日,10月01日,10月06日
10.1-10.6丨轻装露营丨夏特北线,10月01日-10月06日,10月01日,10月06日
10.1-10.7国庆丨越山向海：共赴浙闽山海画境,10月01日-10月07日,10月01日,10月07日
【国庆假期】【三日行程】10月4-6日大五台轻装47公里朝台,10月4-6日,10月4-6日,10月4-6日
9月7日丨中级强度丨新弱勿报丨西南灵遇初秋,9月7日,9月7日,9月7日
9月7日丨休闲活动丨莲花滩-水关,9月7日,9月7日,9月7日
9月7日丨京畿10峰丨休闲活动丨海陀南梁,9月7日,9月7日,9月7日
9月7日丨初级强度丨磅礴巨石阵,9月7日,9月7日,9月7日
9月7日丨初级强度丨安全沟梁,9月7日,9月7日,9月7日
9月7日丨休闲活动丨百里画廊遇初秋,9月7日,9月7日,9月7日
9月7日丨初级进阶丨京畿10宴丨云中阁-长峪城,9月7日,9月7日,9月7日
9月7日丨京畿10峰丨宋家庄集合丨初级进阶丨新人慎报丨北灵山-黄草梁,9月7日,9月7日,9月7日
9月7日丨初级强度丨喜鹊梁-转山,9月7日,9月7日,9月7日
9月7日丨京畿10峰丨中级强度丨新弱勿报丨黄草梁-龙门口,9月7日,9月7日,9月7日
9月7日丨京畿10峰丨初级强度丨油画世界：桦皮岭,9月7日,9月7日,9月7日
9月7日丨京畿10峰丨健乐多 * 大强度丨双黄连,9月7日,9月7日,9月7日
9月7日丨京畿10峰丨初级强度丨大黑峰遇初秋,9月7日,9月7日,9月7日
9月7日丨中级强度丨新弱勿报丨天马草原-白谷查山,9月7日,9月7日,9月7日
9月8日丨京畿10峰丨休闲活动丨海陀南梁,9月8日,9月8日,9月8日
9月8日丨京畿10峰丨初级强度丨油画世界：桦皮岭,9月8日,9月8日,9月8日
9月8日丨初级强度丨恐高勿报丨白瀑寺-东坨山,9月8日,9月8日,9月8日
9月8日丨初级强度丨京畿10宴丨登燕羽山，品豆腐宴,9月8日,9月8日,9月8日
9月8日丨中级强度丨京畿10峰丨白桦林遇初秋,9月8日,9月8日,9月8日
