活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
全年发团丨6天5晚丨朝圣梅里，雨崩徒步转山，独家雨崩村驻点摄影师跟拍,-,-,-,-,2680.0元/人,-,-,360km,-
全年发团丨7天6晚丨雨崩+虎跳峡徒步转山，独家雨崩村驻点摄影师跟拍,-,-,-,-,2880.0元/人,-,-,360km,3小时
2.21-23｜乌兰布统，穿越秘境林海雪原，走进冰雪童话世界,02月21日-02月23日,02月21日,02月23日,20:00 芍药居站我们去哪儿坝上的冬季 | 20:00 芍药居站 | 20:00 芍药居,728.0元/人,-,-,-,-
2.21-23｜乌兰布统，穿越秘境林海雪原，走进冰雪童话世界 【休闲行摄、越野车穿越、日落、烟花、星空、日出】,02月21日-02月23日,02月21日,02月23日,19:30 呼家楼站 | 18:00 到达乌兰布统酒店,1380.0元/人,-,-,-,-
2.22 Sat.周六｜狐狸峪徒步，漫步金色山脊线,02月22日,02月22日,02月22日,08:00 呼家楼站 | 07:30 牡丹园站 | 08:00 呼家楼站指定集合点准时集合出发 | 08:00 呼家楼,118.0元/人,570m,570m,10km,1.5小时
2.22 Sat.周六｜蚕姑坨徒步，观天门奇洞,02月22日,02月22日,02月22日,07:30 牡丹园站 | 08:00 慈寿寺站 | 08:00 慈寿寺站指定集合点准时集合出发,118.0元/人,680m,680m,12km,2.5小时
2.22 Sat.周六｜红螺寺祈福，雁栖湖休闲徒步,02月22日,02月22日,02月22日,08:00 慈寿寺站 | 08:30 牡丹园站指定集合点准时集合出发 | 08:30 牡丹园站,108.0元/人,100m,100m,6km,2小时
2.23 Sun.周日｜咔嚓古道徒步，喀斯特地貌与人文遗迹,02月23日,02月23日,02月23日,08:30 慈寿寺站指定集合点准时集合出发 | 08:00 牡丹园站 | 08:30 慈寿寺站,108.0元/人,600m,600m,10km,2小时
2.23 Sun.周日｜一渡-三皇山-五渡徒步，京郊喀斯特秘境,02月23日,02月23日,02月23日,07:50 牡丹园站指定集合点准时集合出发 | 07:30 呼家楼站 | 07:50 牡丹园站,108.0元/人,700m,700m,12km,1.5小时
【确认成行】3.26-30｜日本熊野古道徒步，朝圣者之路，用脚步感受千年古道文化,03月26日-03月30日,03月26日,03月30日,-,9980.0元/人,-,-,-,-
4.3-4.6｜香港行山径精华连穿——麦理浩径、港岛径、凤凰径+太平山全球最美夜景,04月03日-04月06日,04月03日,04月06日,-,3280.0元/人,-,-,-,-
