活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【2.11·周二】妫水河&永宁古城｜特别定制摄影小团｜踏冰赏日落+豆腐宴游古城,02月11日,02月11日,02月11日,呼家楼B口 | 牡丹园C口,168.0元/人,-,-,11km,4小时
【2.11·周二】麻田岭｜特别定制摄影小团｜车程缩短｜麻田岭极致雪景,02月11日,02月11日,02月11日,牡丹园地铁站C口 | 呼家楼地铁站B口,228.0元/人,260m,-,9km,7小时
【2.12·周三】白瀑寺&长峪城｜特别定制摄影小团｜元宵双景畅意赏,02月12日,02月12日,02月12日,呼家楼B口 | 牡丹园C口,168.0元/人,500m,-,10km,4小时
【2.12·周三】燕羽山冰瀑｜特别定制摄影小团｜品柳沟豆腐宴,02月12日,02月12日,02月12日,牡丹园地铁站C口 | 呼家楼地铁站B口,168.0元/人,650m,-,11km,4小时
【2.13·周四】麻田岭｜特别定制摄影小团｜车程缩短｜麻田岭极致雪景,02月13日,02月13日,02月13日,牡丹园地铁站C口 | 呼家楼地铁站B口,228.0元/人,260m,-,9km,7小时
【2.13·周四】北灵山｜特别定制摄影小团｜北灵踏雪，冬趣盎然,02月13日,02月13日,02月13日,牡丹园地铁站C口 | 呼家楼地铁站B口,158.0元/人,400m,-,8km,-
【2.14·周五】桃源仙谷｜特别定制摄影小团｜踏冰而行｜蓝冰气泡湖,02月14日,02月14日,02月14日,呼家楼B口 | 牡丹园C口,168.0元/人,600m,600m,10km,-
【2.15·周六】卧牛盘-汗海梁｜初级+｜雪原林海,02月15日,02月15日,02月15日,呼家楼B口 | 牡丹园C口,138.0元/人,750m,-,14km,6小时
【2.15·周六】麻田岭｜初级｜车程缩短｜极致雪景,02月15日,02月15日,02月15日,牡丹园地铁站C口 | 呼家楼地铁站B口,138.0元/人,260m,-,9km,7小时
【2.15·周六】龙泉峪长城-水泉沟踏冰｜初级｜踏冰而行,02月15日,02月15日,02月15日,牡丹园地铁站C口 | 呼家楼地铁站B口,128.0元/人,400m,-,8km,4小时
【2.16·周日】白瀑寺&长峪城｜初级｜一日双景畅意赏,02月16日,02月16日,02月16日,呼家楼B口 | 牡丹园C口,138.0元/人,500m,-,10km,4小时
【2.16·周日】北灵山｜初级｜北灵踏雪，冬趣盎然,02月16日,02月16日,02月16日,牡丹园地铁站C口 | 呼家楼地铁站B口,128.0元/人,400m,-,8km,-
