活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【2.22 初级】思凯乐 x 寻迹山野丨东灵山 | 北京最高峰2303米丨有福利,02月22日,02月22日,02月22日,07:30 公主坟北公交站（公主坟地铁站B口出） | 07:00 芍药居E口,109.0元/人,980m,765m,9km,2小时
【2.22 中级】三峰拉练丨经典环穿,02月22日,02月22日,02月22日,-,5.0元/人,1700m,1700m,22km,-
【2.22 初级】鳌鱼沟丨最后的踏冰赏冰瀑,02月22日,02月22日,02月22日,07:30 芍药居E口 | 08:00 公主坟北公交站（公主坟地铁站B口出）,89.0元/人,300m,290m,11km,1.5小时
【2.22~2.23 初级】老君山 & 龙门石窟丨云海之巅的道教圣地,02月22日 02月23日,02月22日,02月22日,-,569.0元/人,250m,350m,6km,-
【2.22~2.23 休闲】探秘大同丨大巴出行丨古城留遗韵，悬崖建寺庙，石窟刻智慧,02月22日 02月23日,02月22日,02月22日,-,499.0元/人,450m,450m,4.5km,-
【2.22~2.23 初级】夜爬泰山丨迎第一缕阳光，福泽满年,02月22日 02月23日,02月22日,02月22日,-,269.0元/人,1325m,1155m,14km,-
【2.22~2.23 休闲】探秘大同丨大巴出行丨古城留遗韵，悬崖建寺庙，石窟刻智慧,02月22日 02月23日,02月22日,02月22日,-,499.0元/人,450m,450m,4.5km,-
【2.22~2.23 初级】老君山 & 龙门石窟丨云海之巅的道教圣地,02月22日 02月23日,02月22日,02月22日,-,569.0元/人,250m,350m,6km,-
【2.22~2.23 / 3.1~3.2 两期】夜爬泰山丨迎第一缕阳光，福泽满年,02月22日 02月23日 03月01日 03月02日,02月22日,02月22日,-,269.0元/人,1325m,1155m,14km,-
【2.23 初级】珍珠湖丨京西小三峡,02月23日,02月23日,02月23日,07:30 芍药居E口 | 08:00 公主坟北公交站（公主坟地铁站B口出）,89.0元/人,650m,750m,8km,1.5小时
【3.1 越野跑】思凯乐越野跑丨训练赛丨新手可尝试丨特价报名,03月01日,03月01日,03月01日,-,148.0元/人,1173m,-,12.64km,-
【3.1~3.2初级】夜爬泰山丨龙抬头迎第一缕阳光，福泽满年,03月01日 03月02日,03月01日,03月01日,-,269.0元/人,1325m,1155m,14km,-
