活动,日期,开始日期,结束日期,集合地点,报名费用,爬升,下降,距离,车程
【1207周六】百丈千佛崖｜第二人半价,12月07日,12月07日,12月07日,128.0元/人,08:00 亮马桥c口,450m,-,5km,1.5小时
【1207周六】【伯希和专场】桦皮岭｜冰雪王国｜当日有降雪,12月07日,12月07日,12月07日,138.0元/人,07:00 亮马桥c口,200m,-,7km,-
1207周六「北灵山」,12月07日,12月07日,12月07日,-,-,-,-,-,-
1207周六「幽州挂壁公路」,12月07日,12月07日,12月07日,-,-,-,-,-,-
1207周六「东灵山 」,12月07日,12月07日,12月07日,-,-,-,-,-,-
1207周六「珍珠湖」,12月07日,12月07日,12月07日,-,-,-,-,-,-
1208周日「桦皮岭」,12月08日,12月08日,12月08日,-,-,-,-,-,-
1208周日「西南灵」,12月08日,12月08日,12月08日,-,-,-,-,-,-
1208周日「翡翠湖 」,12月08日,12月08日,12月08日,-,-,-,-,-,-
1208周日「白瀑寺」,12月08日,12月08日,12月08日,-,-,-,-,-,-
【1214-1215】乌兰布统，探寻雪国秘境｜首期特惠,12月14日-12月15日,12月14日,12月15日,1280.0元/人,-,-,-,-,-
【12.28-12.29】破边洲+麦理浩径一二段重装露营,12月28日-12月29日,12月28日,12月29日,790.0元/人,-,-,-,-,-
