活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
0222丨初级丨冬日桦皮岭丨北国风光,02月22日,02月22日,02月22日,牡丹园地铁站C口,138.0元/人,550m,530m,10km,3.5小时
0222丨初级丨清茶山-珍珠湖丨京西小三峡,02月22日,02月22日,02月22日,牡丹园地铁站C口 | 海淀五路居地铁站A口,98.0元/人,700m,800m,7km,1.5小时
0222丨中级+丨白草畔-百花山-上达摩丨门头沟大山脊西线,02月22日,02月22日,02月22日,牡丹园地铁站C口 | 海淀五路居地铁站A口,98.0元/人,1530m,1930m,26km,2.5小时
0222丨初级丨一渡-五渡丨深山幽谷，喀斯特奇观,02月22日,02月22日,02月22日,牡丹园地铁站C口 | 海淀五路居地铁站A口,98.0元/人,870m,850m,12km,2.5小时
0222丨休闲丨西伯利亚海鸥与网红图书馆丨天津一瞥,02月22日,02月22日,02月22日,牡丹园地铁站C口 | 呼家楼地铁站D口,128.0元/人,-,-,-,-
0223丨初级丨狐狸峪丨松柏叠翠，黄草漫山,02月23日,02月23日,02月23日,芍药居地铁站E口 | 牡丹园地铁站C口,108.0元/人,680m,720m,13km,2小时
0223丨初级丨浮图峪长城丨巨石盘桓的边塞史诗,02月23日,02月23日,02月23日,牡丹园地铁站C口 | 海淀五路居地铁站A口,128.0元/人,640m,720m,11km,3小时
0308-0309丨初级丨婺源秘境，寻常人家,03月08日-03月09日,03月08日,03月09日,-,628.0元/人,-,-,-,-
0315-0316丨初级丨古道江风，水墨徽州,03月15日-03月16日,03月15日,03月16日,-,608.0元/人,-,-,-,-
0322-0323丨初级丨徽杭古道，山水绩溪,03月22日-03月23日,03月22日,03月23日,-,628.0元/人,-,-,-,-
0329-0330丨济州岛春日限定丨樱花漫天的粉色浪漫,03月29日-03月30日,03月29日,03月30日,-,1138.0元/人,-,-,-,-
